Start id, Goal id, Nodes id in shortest path
419063669, 614836301, [419063669->419063656->419063615->419063591->419063588->419063816->419063736->419063940->419063732->1586548542->1130760543->419063755->1457603578->419063704->1453645599->419063918->621103171->1453645656->419066868->1457603670->419066859->1457603809->419066921->419066677->419066753->419066584->419066635->419066424->419066484->419067413->419067422->419067434->419067464->419067472->419067482->419067502->419067520->419067528->419067277->419067278->419067268->419067516->419067463->1496086807->1496086808->1520646559->1496086809->1496086815->1496086825->1496086833->1496086837->1496086843->1496086850->1496086855->1496086857->1496086902->419065713->419065665->419065624->1507033371->1507033373->1507033375->1507033376->419065575->4444052404->1707913072->1252613667->419065414->419065398->3562660403->3562662396->419065514->1246788939->1246793239->3261450261->419065439->1632589067->1130760520->3261450262->3562689674->1836154702->3530512787->3718736656->419065326->419065247->1836154705->419065161->419066307->4173432434->419066315->419066246->5333356828->419066052->419065989->419065958->4173432437->1706199863->3748145146->3748145147->419066026->419065940->419065834->419065821->419065828->419065768->419065756->419065752->1668692620->1668692656->1668692606->5333359408->1668692589->4776138562->4776138556->3066197204->419069265->1659258809->1659258631->1659258574->419069255->1659258833->1659258537->419069248->1659258879->1659258593->1659258672->419069210->419069258->1664514657->1664514671->419069267->1659258706->419069284->2001439503->3682623949->3682623950->3682623954->3682623948->419069169->1662634471->1924960749->3687667262->419069312->1662634642->419068846->3682623931->3682623930->3682623929->3682623928->3682623927->1662319269->419068838->1662319905->3682623926->419068829->3682623932->1662319763->419068801->419068883->419070049->419070037->419070045->419069999->419069933->419069881->419069874->419069867->419069853->419069852->419069851->419069909->3553562033->3553562034->419069886->419069924->419069951->419069953->419069932->419070008->419069996->419070004->419070000->419069992->419070052->3033755759->419070053->419070046->419070033->1706177313->419070077->419070071->419070069->419070068->419070078->419069384->419067643->1086155313->4300139946->419072629->1130866082->1130866178->419072666->1291466557->1291466573->419072794->419072760->419072211->419072303->419072481->419072434->419068301->419068278->419068275->419068305->419072271->419072301->5306369164->419068345->614836301]
419063669, 1194356588, [419063669->419063452->419063520->419063294->1456802567->1456802566->1456802565->1456802564->419063216->1456802562->1456802538->419063274->1456802426->1456802385->1456802331->419063254->1456802257->1456802192->419063031->1456802012->419063042->419063121->419063143->419063096->1367484558->1367484538->1367484539->1367484535->1367484555->1367484548->1367484547->1367484559->419064897->419064851->419064768->419064694->1085655962->419064745->419064665->1708692632->419064602->419064599->419064559->419064282->419064238->419064016->419063999->3640865739->3640865738->3640865737->419061159->419061181->419061454->419060447->419060471->419060535->419060672->1892894983->419060362->3851047980->419062700->3840337752->419062632->419062869->419062782->419062784->419062468->419062510->419062169->419062111->419062292->419062200->765949470->419061634->419061874->419059171->419059336->419059283->1706124728->1706124668->3323435668->3930187377->4069458637->4069458636->3930148854->419059759->419059701->419059829->419059972->419060102->1349093981->1349094025->419057675->419057735->4467810691->3678734061->419058651->3565938172->419058930->419059084->419056413->419056325->419056289->419056277->419056833->419056561->419056939->419056926->1795402221->419057339->419057232->3323407441->1230563506->419055542->3323395921->3323395920->419055402->3323395917->3405669268->419055898->3323395915->1145509306->419055689->3323382372->3323382371->419056120->3323382367->2113981932->3881526421->3242674840->3242674838->419056020->1344841857->419053864->419053827->2552064451->419053917->1145509348->1077755218->3433963468->419053257->419053511->3711045763->1145509507->3711045750->419054614->419054869->1145509333->3323319368->419054800->3174204339->419054774->3174186299->1145509399->1132082365->419054219->559726157->559726159->1145508836->1145509317->419054333->419054331->3837425275->1145509222->3363186037->3363186035->3363186033->419052483->3363186028->2222983856->3363186017->3363186016->3363186011->1121861571->1121861330->419051968->3512620212->3455114688->419052056->419052216->3455118683->419053011->3455118681->3858229235->1238454298->847640533->419053087->847640611->1612708493->419053060->1238472945->419053152->419053109->1610340487->3253229578->419053207->1145509079->3424725082->419053166->419052767->419052808->3758587328->419052812->4949023663->3758587326->419052783->419052864->1145509220->1145509179->419052920->419051040->1145509182->419050940->3518937464->419050837->3518937459->419050770->3518937452->3518937450->419051769->419051721->419051521->1621258058->419051324->419051234->4370760629->1121861864->1121861344->847640396->2425480792->419048801->1621891527->1077755092->419050264->419050117->847640429->419049996->419049596->847640479->847640458->419048208->419048213->3832873425->419048285->3832873420->3832873418->847563535->419046572->419046675->419046798->419046890->419046956->419046930->419045511->1621858724->1621858269->419045607->419045896->419046200->419044812->419044819->419044640->419044708->419044733->419044989->419045064->1216080351->1621891485->1621891676->1621891461->1145509408->419045191->1621869671->1621869695->1247116104->1145509269->419045399->913845295->1247133121->419044236->1628217924->1628217952->419044306->1628217948->419044144->419044188->1628217942->1145509359->419044533->419044491->419044588->528364382->1143874266->419044346->419044467->419043749->419043607->419043831->419043923->419043234->419043181->419043137->419043120->1244563745->419043521->1244563847->419043391->544782065->419042609->419042991->419043037->419042876->419041971->515778599->515778589->1207025118->1077755130->1207025036->419041864->1121247940->3244945321->419041531->1121248014->1207024998->1145509379->1864629621->1864629617->1864629612->1864629610->1207025129->1207025132->1207025016->1864629583->528273326->419040148->1439249781->419039916->419039950->419039970->419039990->1864629569->1864629564->565575660->3240361956->565575663->1540706733->419039919->419039908->1081839515->419040139->419040144->419040138->1121247914->419039874->419039890->1121247975->419039944->1121247684->419039619->419039598->419039650->419039678->1115846718->419039681->419039634->870974572->972074250->3367699152->419040055->419040052->419040047->419040106->419040136->419039786->1186019706->1189164463->3349687252->3349687249->1189164426->3349687245->1189164445->3349687241->3349687238->1189164461->3349687228->1189164431->3349687227->1189164420->3349687225->419039195->3349687223->419039140->419039027->419038785->1186067227->419038722->1186067276->1186067226->419038610->419038654->419038518->1179983423->2767947704->1179983480->419038412->1188556013->1186039829->3163333048->3163336519->1188214495->419038221->419038231->419038244->419038273->419038274->419038276->3163333030->3163336684->3163336529->1188381985->3163336681->1193160282->1186480572->1186480465->1177493604->1177493572->1186480693->1186480598->1188365835->419038150->1186480474->419038104->1186480568->1186480666->1186480754->1186480384->1186480600->1186480436->1186480602->1186480433->1186480457->3457922818->3547618911->419038116->1204219429->1204219150->1204219173->419038033->1205240085->1205240171->1175156733->1175157081->1205240181->1208837275->1175156977->1208820762->1208820789->1175156801->1190952882->1175156516->1175157163->1175156736->1175156641->1175156646->1707763275->1175156522->1175156869->1175156755->1707763285->1175157087->1175156983->3081151738->3081156207->1175156429->1175156434->1175157089->1175156699->3165258883->1215879873->750159489->3081175768->3081175329->3165259107->3081167299->750159590->1572371328->1572371326->3165259076->3081213160->3165259111->3081213316->750159591->3165258960->3081211883->750159592->3081213146->1208806325->750159593->750159594->1572371337->750159595->3165544677->750159596->1223169781->750159598->1199549872->1572371330->750159599->1199550101->1199550245->1199550429->750159601->1199549658->1196495773->1196495790->1223169516->750159604->1196494784->1196494925->5371987995->1194356588]
419063669, 1238497652, [419063669->419063656->419063615->419063591->419063588->419063816->419063736->419063940->419063732->1586548542->1130760543->419063755->1457603578->419063704->1453645599->419063918->621103171->1453645656->419066868->1457603670->419066859->1457603809->419066921->419066677->419066753->419066584->419066635->419066424->419066484->419067413->419067422->419067434->419067464->419067472->419067482->419067502->419067520->419067528->419067277->419067278->419067268->419067516->419067463->1496086807->1496086808->1520646559->1496086809->1496086815->1496086825->1496086833->1496086837->1496086843->1496086850->1496086855->1496086857->1496086902->419065713->419065665->419065624->1507033371->1507033373->1507033375->1507033376->419065575->4444052404->1707913072->1252613667->419065414->419065398->3562660403->3562662396->419065514->1246788939->1246793239->3261450261->419065439->1632589067->1130760520->3261450262->3562689674->1836154702->3530512787->3718736656->419065326->419065247->1836154705->419065161->419066307->4173432434->419066315->419066246->5333356828->419066052->419065989->419065958->4173432437->1706199863->3748145146->3748145147->419066026->419065940->419065834->419065821->419065828->419065768->419065756->419065752->1668692620->1668692656->1668692606->5333359408->1668692589->4776138562->4776138556->3066197204->419069265->1659258809->1659258631->1659258574->419069255->1659258833->1659258537->419069248->1659258879->1659258593->1659258672->419069210->419069258->1664514657->1664514671->419069267->1659258706->419069284->2001439503->3682623949->3682623950->3682623954->3682623948->419069169->1662634471->1924960749->3687667262->419069312->1662634642->419068846->3682623931->3682623930->3682623929->3682623928->3682623927->1662319269->419068838->1662319905->3682623926->419068829->3682623932->1662319763->419068801->419068883->419070049->419070037->419070045->419069999->419069933->419069881->419069874->419069867->419069853->419069852->419069851->419069909->3553562033->3553562034->419069886->419069924->419069951->419069953->419069932->419070008->419069996->419070004->419070000->419069992->419070052->3033755759->419070053->419070046->419070033->1706177313->419070077->419070071->419070069->419070068->419070078->419069384->419067643->1086155313->4300139946->419072629->1130866082->1130866178->419072666->1291466557->1291466573->419072794->419072760->419072211->419072303->419072481->419072434->419068301->419068278->419068275->419068305->419072271->419072301->419072691->5306372483->419071652->419071438->1291447129->419072067->419071841->419071791->1291456383->419070983->419071201->1238497652]
419063669, 1247464248, [419063669->419063452->419063520->419063294->1456802567->1456802566->1456802565->1456802564->419063216->1456802562->1456802538->419063274->1456802426->1456802385->1456802331->419063254->1456802257->1456802192->419063031->1456802012->419063042->419063121->419063143->419063096->1367484558->1367484538->1367484539->1367484535->1367484555->1367484548->1367484547->1367484559->419064897->419064851->419064768->419064694->1085655962->419064745->419064665->1708692632->419064602->419064599->419064559->419064282->419064238->419064016->419063999->3640865739->3640865738->3640865737->419061159->419061181->419061454->419060447->419060471->419060535->419060672->1892894983->419060362->3851047980->419062700->3840337752->419062632->419062869->419062782->419062784->419062468->419062510->419062169->419062111->419062292->419062200->765949470->419061634->419061874->419059171->419059336->419059283->1706124728->1706124668->3323435668->3930187377->4069458637->4069458636->3930148854->419059759->419059701->419059829->419059972->419060102->1349093981->1349094025->419057675->419057735->4467810691->3678734061->419058651->419058645->419058940->419056429->3323413951->419056412->419056323->419056300->847640484->419056276->1706109559->419056836->1706109734->419056555->1706267936->419056935->419056890->1795402216->419057235->3323407440->3323407439->847640634->847640568->419055581->3323395919->419055398->1230563284->3323395916->1230563580->419055894->1145509502->3323395914->419055717->3868740057->1145509474->419055706->2262603927->419056079->1247464248]
419063669, 1278904966, [419063669->419063656->419063615->419063591->419063588->419063816->419063736->419063940->419063732->1586548542->1130760543->419063755->1457603578->419063704->1453645599->419063918->621103171->1453645656->419066868->1457603670->419066859->1457603809->419066921->419066677->419066753->419066584->419066635->419066424->419066484->419067413->419067422->419067434->419067464->419067472->419067482->419067502->419067520->419067528->419067277->419067278->419067268->419067516->419067463->1496086807->1496086808->1520646559->1496086809->1496086815->1496086825->1496086833->1496086837->1496086843->1496086850->1496086855->1496086857->1496086902->419065713->419065665->419065624->1507033371->1507033373->1507033375->1507033376->419065575->4444052404->1707913072->1252613667->419065414->419065398->3562660403->3562662396->419065514->1246788939->1246793239->3261450261->419065439->1632589067->1130760520->3261450262->3562689674->1836154702->3530512787->3718736656->419065326->419065247->1836154705->419065161->419066307->4173432434->419066315->419066246->5333356828->419066052->419065989->419065958->4173432437->1706199863->3748145146->3748145147->419066026->419065940->419065834->419065821->419065828->419065768->419065756->419065752->1668692620->1668692656->1668692606->5333359408->1668692589->4776138562->4776138556->3066197204->419069265->1659258809->1659258631->1659258574->419069255->1659258833->1659258537->419069248->1659258879->1659258593->1659258672->419069210->419069258->1664514657->1664514671->419069267->1659258706->419069284->2001439503->3682623949->3682623950->3682623954->3682623948->419069169->1662634471->1924960749->3687667262->419069312->1662634642->419068846->3682623931->3682623930->3682623929->3682623928->3682623927->1662319269->419068838->1662319905->3682623926->419068829->3682623932->1662319763->419068801->419068883->419070049->419070037->1706183669->1706183644->1721718300->419069490->3696480682->419069554->3218990220->419067889->419067839->419068034->419068010->419068035->419068057->419067834->419067832->419067845->419067856->419067863->419067876->419067888->419067885->419067855->419068040->419068048->419067984->419067598->419067549->2068629240->419067665->419068430->4061333846->419068603->2068640284->419072207->419072146->419072680->1278894369->1278894363->1278904966]
419063669, 1310623216, [419063669->419063656->419063615->419063591->419063588->419063816->419063736->419063940->419063732->5333313391->1453755897->419063670->419063465->419063310->419063361->1367465299->1453644664->419063073->419062991->419063000->1740506584->1739483535->1130760539->1631011982->1130760584->419065112->1130760548->419065066->419064957->419064983->1636238256->419064938->419064827->1140400584->419064758->419064718->1675397563->419064746->419064724->1586548229->1586554589->419064748->3177457461->1798114906->419064574->419064601->419064500->419064448->419064477->419064370->419064355->419064322->1706043627->419064221->3755485495->419064229->419064155->419064102->419064110->1837729104->419064111->419064114->3590409225->419064118->1707535735->1707535756->419064112->419064104->419064167->419064235->419064223->3656848984->565575673->565575675->419061118->419061190->3234004450->1310623216]
419063669, 1401388043, [419063669->419063656->419063615->419063591->419063588->419063816->419063736->419063940->419063732->1586548542->1130760543->419063755->1457603578->419063704->1453645599->419063918->621103171->1453645656->419066868->1457603670->419066859->1457603809->419066921->419066677->419066753->419066584->419066635->419066424->419066484->419067413->419067422->419067434->419067464->419067472->419067482->419067502->419067520->419067528->419067277->419067278->419067268->419067516->419067463->1496086807->1496086808->1520646559->1496086809->1496086815->1496086825->1496086833->1496086837->1496086843->1496086850->1496086855->1496086857->1496086902->419065713->419065665->419065624->1507033371->1507033373->1507033375->1507033376->419065575->4444052404->1707913072->1252613667->419065414->419065398->3562660403->3562662396->419065514->1246788939->1246793239->3261450261->419065439->1632589067->1130760520->3261450262->3562689674->1836154702->3530512787->3718736656->419065326->419065247->1836154705->419065161->419066307->4173432434->419066315->419066246->5333356828->419066052->419065989->419065958->4173432437->1706199863->3748145146->3748145147->419066026->419065940->419065834->419065821->419065828->419065768->419065756->419065752->1668692620->1668692656->1668692606->5333359408->1668692589->4776138562->4776138556->3066197204->419069265->1659258809->1659258631->1659258574->419069255->1659258833->1659258537->419069248->1659258879->1659258593->1659258672->419069210->419069258->1664514657->1664514671->419069267->1659258706->419069284->2001439503->3682623949->3682623950->3682623954->3682623948->419069169->1662634471->1924960749->3687667262->419069312->1662634642->419068846->3682623931->3682623930->3682623929->3682623928->3682623927->1662319269->419068838->1662319905->3682623926->419068829->3682623932->1662319763->419068801->419068883->419070049->419070037->1706183669->1706183644->1721718300->419069490->3696480682->419069554->3218990220->419067889->419067839->419068034->419068010->419068035->419068057->419067834->419067832->419067845->419067856->419067863->419067876->419067888->419067885->419067855->419068040->419068048->419067984->419067598->419067549->2068629240->419067665->419068430->4061333846->419068603->2068640284->419072207->419072146->419072680->1278894369->1278894363->1278904966->1082199100->419071953->1289135460->419071849->419070992->1401388043]
419063669, 4119328902, [419063669->419063452->419063520->419063294->1456802567->1456802566->1456802565->1456802564->419063216->1456802562->1456802538->419063274->1456802426->1456802385->1456802331->419063254->1456802257->1456802192->419063031->1456802012->419063042->419063121->419063143->419063096->1367484558->1367484538->1367484539->1367484535->1367484555->1367484548->1367484547->1367484559->419064897->419064851->419064768->419064694->1085655962->419064745->419064665->1708692632->419064602->419064599->419064559->419064282->419064238->419064016->419063999->3640865739->3640865738->3640865737->419061159->419061181->419061336->4396159007->2210985650->419061427->419061473->419061583->4396159001->419060711->419060882->1613916533->4396158994->419061067->2011150399->419060496->1615248706->419060589->1881121349->847640572->1881121321->1085655946->419060663->3525586232->3525586231->419060278->419060257->3525586228->3525586227->1158997480->1707448146->419060430->1706088269->3776146648->419062712->1706088261->419062622->3776146647->1706088154->1219471484->1706088365->3776146646->419062757->3776146645->419062767->1732822322->1732822320->419062364->1707395734->3401447564->1732822319->1732822318->1732822317->1732822316->1732822315->564922612->1732822314->1732822312->1732822311->419062602->3776163061->419062093->1038116970->1038116961->419062332->1711642796->419062279->1711642775->3718755953->419061857->419061829->1711642752->3718755947->3718755944->419061929->3718755934->3718755931->1764798119->1707459033->1707459042->419059112->3261404587->1764798107->419059314->419059418->419059433->419059386->1784399991->419059597->1707215285->1707215336->419059755->1707215070->1707215098->1707215076->1707215409->419057662->419057631->1359682509->1711693719->1711693709->419058336->1778280281->419058395->419058665->3850932622->1897892720->1897892718->3844385388->1897892714->1732822298->1897892700->3844385399->3850932616->1038130907->1038130877->1706261007->419059090->1038130882->1038130895->1038130891->1038130867->1038130904->419056785->4381271249->419056771->419056773->419056772->419056789->3058027714->3058027713->4119328902]
419063669, 4198407189, [419063669->419063452->419063520->419063294->1456802567->1456802566->1456802565->1456802564->419063216->1456802562->1456802538->419063274->1456802426->1456802385->1456802331->419063254->1456802257->1456802192->419063031->1456802012->419063042->419063121->419063143->419063096->1367484558->1367484538->1367484539->1367484535->1367484555->1367484548->1367484547->1367484559->419064897->419064851->419064768->419064694->1085655962->419064745->419064665->1708692632->419064602->419064599->419064559->419064282->419064238->419064016->419063999->3640865739->3640865738->3640865737->419061159->419061181->419061454->419060447->419060471->419060535->419060672->1892894983->419060362->3851047980->419062700->3840337752->419062632->419062869->419062782->419062784->419062468->419062510->419062169->419062111->419062292->419062200->765949470->419061634->419061874->419059171->419059336->419059283->1706124728->1706124668->3323435668->3930187377->4069458637->4069458636->3930148854->419059759->419059701->419059829->419059972->419060102->1349093981->1349094025->419057675->419057735->4467810691->3678734061->419058651->3565938172->419058930->419059084->419056413->419056325->419056289->419056277->419056833->419056561->419056939->419056926->1795402221->419057339->419057232->3323407441->1230563506->419055542->3323395921->3323395920->419055402->3323395917->3405669268->419055898->3323395915->1145509306->419055689->3323382372->3323382371->419056120->3323382367->2113981932->3881526421->3242674840->3242674838->419056020->1344841857->419053864->419053827->2552064451->419053917->1145509348->1077755218->3433963468->419053257->419053511->3711045763->1145509507->3711045750->419054614->419054869->1145509333->3323319368->419054800->3174204339->419054774->3174186299->1145509399->1132082365->419054219->559726157->559726159->1145508836->1145509317->419054333->419054331->3837425275->1145509222->3363186037->3363186035->3363186033->419052483->3363186028->2222983856->3363186017->3363186016->3363186011->1121861571->1121861330->419051968->3512620212->3455114688->419052056->419052216->3455118683->419053011->3455118681->3858229235->1238454298->847640533->419053087->847640611->1612708493->419053060->1238472945->419053152->419053109->1610340487->3253229578->419053207->1145509079->3424725082->419053166->419052767->419052808->3758587328->419052812->4949023663->3758587326->419052783->419052864->1145509220->1145509179->419052920->419051040->1145509182->419050940->3518937464->419050837->3518937459->419050770->3518937452->3518937450->419051769->419051721->419051521->1621258058->419051324->419051234->4370760629->1121861864->1121861344->847640396->2425480792->419048801->1621891527->1077755092->419050264->419050117->847640429->419049996->419049596->847640479->847640458->419048208->419048213->3832873425->419048285->3832873420->3832873418->847563535->419046572->419046675->419046798->419046890->419046956->419046930->419045511->1621858724->1621858269->419045607->419045896->419046200->419044812->419044819->419044640->419044708->419044733->419044989->419045064->1216080351->1621891485->1621891676->1621891461->1145509408->419045191->1621869671->1621869695->1247116104->1145509269->419045399->913845295->1247133121->419044236->1628217924->1628217952->419044306->1628217948->419044144->419044188->1628217942->1145509359->419044533->419044491->419044588->528364382->1143874266->419044346->419044467->419043749->419043607->419043831->419043923->419043234->419043181->419043137->419043120->1244563745->419043521->1244563847->419043391->544782065->419042609->419042991->419043037->419042876->419041971->515778599->515778589->1207025118->1077755130->1207025036->419041864->1121247940->3244945321->419041531->1121248014->1207024998->1145509379->1864629621->1864629617->1864629612->1864629610->1207025129->1207025132->1207025016->1864629583->528273326->419040098->419039894->419039915->419039948->419039954->419039964->419039965->419039953->565575662->1328566569->419039895->419039882->1113113985->1113113969->419040097->1121247786->419040127->419040141->1121248033->419039930->419039863->1121248511->419039845->419039593->419039654->419039628->1115845873->419039629->419039594->870974566->419039808->1123393482->419039759->455923428->455923429->419040316->419040304->871677584->871677592->419040246->419040257->419040637->419040258->419040267->871677580->419040392->419040370->419039896->1124811807->1163633642->1124811768->419039733->419039609->419039859->419039841->1879824358->419039995->1879824365->419039636->419039826->419039642->419039740->419039775->1362379911->419039813->419039844->419039725->4198407189]
